Date,NEAR_DEV
2022-10-04,5
2022-10-05,9
2022-10-06,17
2022-10-07,2
2022-10-09,5
2022-10-10,3
2022-10-11,4
2022-10-12,8
2022-10-13,6
2022-10-15,1
2022-10-16,7
2022-10-17,4
2022-10-18,3
2022-10-19,6
2022-10-20,3
2022-10-21,4
2022-10-22,4
2022-10-24,1
2022-10-25,2
2022-10-27,1
2022-10-30,1
2022-10-31,1
2022-11-01,5
2022-11-02,10
2022-11-03,5
2022-11-04,7
2022-11-05,2
2022-11-06,1
2022-11-07,3
2022-11-08,3
2022-11-09,4
2022-11-10,2
2022-11-11,2
2022-11-12,1
2022-11-13,3
2022-11-14,5
2022-11-15,3
2022-11-16,1
2022-11-17,2
2022-11-18,4
2022-11-19,5
2022-11-20,2
2022-11-21,5
2022-11-22,7
2022-11-23,9
2022-11-24,7
2022-11-25,5
2022-11-26,1
2022-11-27,3
2022-11-28,1
2022-11-29,7
2022-11-30,5
2022-12-01,3
2022-12-02,4
2022-12-04,2
2022-12-05,4
2022-12-06,5
2022-12-07,7
2022-12-08,14
2022-12-09,11
2022-12-10,5
2022-12-11,7
2022-12-12,7
2022-12-13,15
2022-12-14,23
2022-12-15,31
2022-12-16,23
2022-12-17,6
2022-12-18,5
2022-12-19,6
2022-12-20,6
2022-12-21,9
2022-12-22,4
2022-12-23,5
2022-12-24,3
2022-12-25,1
2022-12-26,1
2022-12-27,4
2022-12-28,2
2022-12-29,2
2022-12-30,3
2022-12-31,1
2023-01-01,2
2023-01-02,6
2023-01-03,6
2023-01-04,8
2023-01-05,8
2023-01-06,10
2023-01-07,8
2023-01-08,2
2023-01-09,5
2023-01-10,7
2023-01-11,4
2023-01-12,5
2023-01-13,7
2023-01-14,2
2023-01-15,1
2023-01-16,6
2023-01-17,7
2023-01-18,7
2023-01-19,11
2023-01-20,11
2023-01-21,1
2023-01-22,2
2023-01-23,9
2023-01-24,7
2023-01-25,10
2023-01-26,14
2023-01-27,12
2023-01-28,3
2023-01-29,5
2023-01-30,12
2023-01-31,9
2023-02-01,10
2023-02-02,8
2023-02-03,7
2023-02-04,3
2023-02-05,2
2023-02-06,9
2023-02-07,14
2023-02-08,8
2023-02-09,14
2023-02-10,16
2023-02-11,3
2023-02-12,5
2023-02-13,15
2023-02-14,19
2023-02-15,19
2023-02-16,17
2023-02-17,15
2023-02-18,6
2023-02-19,8
2023-02-20,7
2023-02-21,13
2023-02-22,18
2023-02-23,20
2023-02-24,20
2023-02-25,13
2023-02-26,8
2023-02-27,18
2023-02-28,16
2023-03-01,23
2023-03-02,17
2023-03-03,25
2023-03-04,21
2023-03-05,29
2023-03-06,13
2023-03-07,23
2023-03-08,20
2023-03-09,19
2023-03-10,13
2023-03-11,7
2023-03-12,3
2023-03-13,15
2023-03-14,10
2023-03-15,21
2023-03-16,15
2023-03-17,14
2023-03-18,7
2023-03-19,4
2023-03-20,15
2023-03-21,18
2023-03-22,18
2023-03-23,23
2023-03-24,16
2023-03-25,7
2023-03-26,5
2023-03-27,15
2023-03-28,21
2023-03-29,20
2023-03-30,12
2023-03-31,19
2023-04-01,6
2023-04-02,6
2023-04-03,18
2023-04-04,20
2023-04-05,24
2023-04-06,19
2023-04-07,19
2023-04-08,5
2023-04-09,6
2023-04-10,25
2023-04-11,28
2023-04-12,21
2023-04-13,22
2023-04-14,17
2023-04-15,14
2023-04-16,13
2023-04-17,17
2023-04-18,23
2023-04-19,14
2023-04-20,20
2023-04-21,17
2023-04-22,6
2023-04-23,6
2023-04-24,22
2023-04-25,24
2023-04-26,13
2023-04-27,16
2023-04-28,12
2023-04-29,4
2023-04-30,4
2023-05-01,8
2023-05-02,15
2023-05-03,16
2023-05-04,19
2023-05-05,11
2023-05-06,6
2023-05-07,5
2023-05-08,12
2023-05-09,19
2023-05-10,12
2023-05-11,13
2023-05-12,17
2023-05-13,2
2023-05-14,8
2023-05-15,17
2023-05-16,22
2023-05-17,15
2023-05-18,16
2023-05-19,16
2023-05-20,8
2023-05-21,12
2023-05-22,16
2023-05-23,15
2023-05-24,18
2023-05-25,13
2023-05-26,16
2023-05-27,9
2023-05-28,12
2023-05-29,9
2023-05-30,17
2023-05-31,20
2023-06-01,14
2023-06-02,18
2023-06-03,8
2023-06-04,6
2023-06-05,14
2023-06-06,26
2023-06-07,2
