Commit Hash,Widget Name,Author,Time
ccc012fd7413c80d018afc48f187b3853c1fe138,Unknown Widget,Unknown Author,Unknown Time
06ab90ff2701ec2a4a64267d075686e98f55a72b,edu.answer,academy.near,2023-06-06T00:54:34.070Z
79dd462697456721aaf35b754389205820ca3ab6,edu.answer,academy.near,2023-06-06T00:41:39.595Z
0d2024d53de0f0120ca55cdc47ed707680dc1f7b,edu.answer,academy.near,2023-06-06T00:40:26.841Z
71bbc06b8a1bcc09eb05154f0384616dfa115cf0,WikiOnSocialDB_Comment,eugenewolf507.near,2023-06-06T19:02:04.702Z
9e8949d1c894ca5c90e3f9d4596916614ab84fe7,WikiOnSocialDB_Comment,eugenewolf507.near,2023-06-06T19:00:19.436Z
70c11017a0c75092f0029c7f6aa78578a9fdbc7d,WikiOnSocialDB_Comment,eugenewolf507.near,2023-06-06T11:19:27.346Z
42873e1a4efc15d609c4481fd4e5b15ee3cdee4b,edu.question,hack.near,2023-06-05T23:31:47.878Z
922de33d405294de0b2563462220830e22eda431,edu.question,academy.near,2023-06-05T23:51:32.946Z
5f34be19cdc504be11b789d9b9e69abe357ec0cb,edu.question,academy.near,2023-06-05T23:49:16.652Z
16ab2955e4f5a8b22dd610ecd7ee1c23b9a854ab,edu.question,academy.near,2023-06-05T23:48:26.509Z
0da0cd1184e6bb61d64a61954aa5904501789dc8,edu.question,academy.near,2023-06-05T23:44:33.621Z
2450640566d80a4cda26d7f246fe82fc94788586,edu.question,academy.near,2023-06-05T23:16:51.991Z
3adc9d3e0863b63b9d4e5ab47aaa197988995f64,edu.question,academy.near,2023-06-05T21:57:06.258Z
ddf30393df79268e38bfd1a87a25973c05015940,edu.question,academy.near,2023-06-05T21:43:19.544Z
caecaea9f72091232e71fdb62226f082fcaba811,Unknown Widget,Unknown Author,Unknown Time
3f40efbf25d8c4893da6b1d2a252c1a53c880d60,BOSHacks,minorityprogrammers.near,2023-06-05T13:16:47.854Z
cb33dce10589ab7c1cc2367e679619c688e6f1b5,Unknown Widget,Unknown Author,Unknown Time
e82a57c67ce3624c8d63c159202c2c91c7b13a56,Unknown Widget,Unknown Author,Unknown Time
6ad01229c7e822d429c2268bfe41bdf1ef6b0624,Unknown Widget,Unknown Author,Unknown Time
1b8aa7fb628715a9c1489a5579c83d2f7f62b342,Unknown Widget,Unknown Author,Unknown Time
859a34cd0399eb80336f339ed1fc1e48e83046ce,Unknown Widget,Unknown Author,Unknown Time
e64fb81a4b4cfdf3ee7f27fbf517ef87b1e14859,Unknown Widget,Unknown Author,Unknown Time
b316ddebac5d5df7ea519e8ed480845a12ffa165,Unknown Widget,Unknown Author,Unknown Time
e3003a15790f7e587620fafabaf464634fa78a4b,Unknown Widget,Unknown Author,Unknown Time
6287d4d532b771c206fa57d23acd472fb1241561,Unknown Widget,Unknown Author,Unknown Time
afc85d6348cb49b543d072ac8cc248ed1b63137f,Unknown Widget,Unknown Author,Unknown Time
73c1489435ad1567bcd4819c3f3f049798d16dd2,Unknown Widget,Unknown Author,Unknown Time
f8484c997c9a8aadfd5ede44d6249c98d0752219,Unknown Widget,Unknown Author,Unknown Time
0d25129efb9d532bd2c0bfec1c401112228f3009,Unknown Widget,Unknown Author,Unknown Time
38cf8b48d3da97ea3ac28cc491cadc95bdd9f028,Academy,hack.near,2023-06-07T12:19:35.430Z
5a19b7984ad5350c3f531ed0ba85746bd5cf7111,Academy,hack.near,2023-06-06T04:24:35.448Z
b57facd19acd777081d4e5936b40ae63ccac5170,Academy,hack.near,2023-06-06T04:23:14.050Z
23453beeea4c131397865e1caa71ca9d8f521300,Academy,hack.near,2023-06-06T04:16:13.290Z
3f06dab1cc8e4838ae5d1994debafb23426a15c9,Academy,hack.near,2023-06-06T02:06:23.930Z
